Frequency_Hz,PSD
-6767578.125,7.187405334e-09
-6762695.312,1.647124113e-09
-6757812.5,6.04836441e-09
-6752929.688,3.874703126e-08
-6748046.875,3.318627843e-08
-6743164.062,3.697985428e-09
-6738281.25,1.178570479e-08
-6733398.438,1.97646914e-09
-6728515.625,6.830431712e-09
-6723632.812,8.588602357e-09
-6718750,2.160617959e-08
-6713867.188,1.666522012e-08
-6708984.375,2.831202012e-08
-6704101.562,1.477877443e-08
-6699218.75,2.842248032e-08
-6694335.938,4.502005747e-09
-6689453.125,2.035563196e-09
-6684570.312,1.909867451e-08
-6679687.5,5.76729634e-08
-6674804.688,3.67785815e-08
-6669921.875,1.096029212e-09
-6665039.062,1.153569288e-08
-6660156.25,7.173594807e-10
-6655273.438,1.936146296e-08
-6650390.625,1.916718121e-08
-6645507.812,3.723300401e-09
-6640625,3.883031685e-09
-6635742.188,1.223700918e-08
-6630859.375,5.336569318e-10
-6625976.562,1.043698332e-09
-6621093.75,3.5288012e-08
-6616210.938,2.301460438e-08
-6611328.125,2.726385382e-08
-6606445.312,1.168801342e-09
-6601562.5,1.363763345e-09
-6596679.688,4.11357413e-08
-6591796.875,1.068449716e-09
-6586914.062,2.058471099e-08
-6582031.25,9.598052208e-09
-6577148.438,1.755242385e-08
-6572265.625,1.896776772e-08
-6567382.812,5.365233126e-10
-6562500,9.026217589e-09
-6557617.188,2.069679943e-09
-6552734.375,5.029742806e-09
-6547851.562,3.356084331e-08
-6542968.75,1.521839889e-08
-6538085.938,2.812703926e-08
-6533203.125,3.873331628e-08
-6528320.312,8.458267809e-09
-6523437.5,7.440259795e-09
-6518554.688,1.773296957e-09
-6513671.875,2.068081279e-08
-6508789.062,7.076330386e-09
-6503906.25,4.313080494e-09
-6499023.438,8.01206699e-09
-6494140.625,1.417427189e-09
-6489257.812,1.107357165e-08
-6484375,7.363492783e-09
-6479492.188,1.762017691e-08
-6474609.375,6.801045539e-09
-6469726.562,6.459838972e-09
-6464843.75,1.877630366e-08
-6459960.938,2.567021505e-09
-6455078.125,1.453587131e-08
-6450195.312,3.130236688e-09
-6445312.5,1.824888379e-09
-6440429.688,2.855936524e-08
-6435546.875,7.204995893e-09
-6430664.062,2.876375915e-08
-6425781.25,1.558375404e-09
-6420898.438,2.13854282e-08
-6416015.625,3.614255179e-09
-6411132.812,2.452473648e-09
-6406250,5.73061847e-09
-6401367.188,1.592299244e-08
-6396484.375,5.520509864e-08
-6391601.562,3.091045678e-09
-6386718.75,1.950953805e-08
-6381835.938,5.565659073e-09
-6376953.125,2.534845714e-09
-6372070.312,4.952936032e-10
-6367187.5,5.175597888e-09
-6362304.688,1.008827205e-08
-6357421.875,4.492149784e-09
-6352539.062,2.844411777e-08
-6347656.25,5.878396425e-08
-6342773.438,6.766245109e-09
-6337890.625,3.172939806e-09
-6333007.812,1.420339858e-08
-6328125,2.254091094e-08
-6323242.188,2.573339445e-09
-6318359.375,2.191137798e-08
-6313476.562,1.820067589e-08
-6308593.75,5.706061343e-08
-6303710.938,8.79212118e-08
-6298828.125,2.428247127e-08
-6293945.312,1.327789354e-08
-6289062.5,2.677403749e-09
-6284179.688,4.289272122e-09
-6279296.875,5.702926501e-08
-6274414.062,7.597792922e-09
-6269531.25,1.394101974e-10
-6264648.438,1.33695259e-08
-6259765.625,2.399515744e-10
-6254882.812,5.546866899e-09
-6250000,1.035146182e-09
-6245117.188,4.67619482e-09
