Frequency_Hz,PSD
-6093750,1.363065231e-08
-6088867.188,1.342510028e-08
-6083984.375,1.326051628e-08
-6079101.562,1.355833404e-08
-6074218.75,1.400132403e-08
-6069335.938,1.464325606e-08
-6064453.125,1.432275548e-08
-6059570.312,1.395499355e-08
-6054687.5,1.365631264e-08
-6049804.688,1.33934271e-08
-6044921.875,1.349896882e-08
-6040039.062,1.351441825e-08
-6035156.25,1.380644642e-08
-6030273.438,1.388949875e-08
-6025390.625,1.370282638e-08
-6020507.812,1.348837968e-08
-6015625,1.332912891e-08
-6010742.188,1.319119483e-08
-6005859.375,1.351843592e-08
-6000976.562,1.36861891e-08
-5996093.75,1.36467617e-08
-5991210.938,1.350611735e-08
-5986328.125,1.36329243e-08
-5981445.312,1.40867495e-08
-5976562.5,1.477407893e-08
-5971679.688,1.400749282e-08
-5966796.875,1.362380802e-08
-5961914.062,1.340151495e-08
-5957031.25,1.348518538e-08
-5952148.438,1.348801153e-08
-5947265.625,1.366321349e-08
-5942382.812,1.367250233e-08
-5937500,1.365998507e-08
-5932617.188,1.339588636e-08
-5927734.375,1.327481783e-08
-5922851.562,1.341341553e-08
-5917968.75,1.35902553e-08
-5913085.938,1.387822852e-08
-5908203.125,1.367258549e-08
-5903320.312,1.356872093e-08
-5898437.5,1.396240646e-08
-5893554.688,1.413659736e-08
-5888671.875,1.484675946e-08
-5883789.062,1.430229913e-08
-5878906.25,1.372299213e-08
-5874023.438,1.377254853e-08
-5869140.625,1.361074688e-08
-5864257.812,1.34306788e-08
-5859375,1.319788255e-08
-5854492.188,1.353468843e-08
-5849609.375,1.361468394e-08
-5844726.562,1.373985003e-08
-5839843.75,1.40755779e-08
-5834960.938,1.378375827e-08
-5830078.125,1.3658209e-08
-5825195.312,1.337950402e-08
-5820312.5,1.334521208e-08
-5815429.688,1.349805451e-08
-5810546.875,1.416897169e-08
-5805664.062,1.465732453e-08
-5800781.25,1.479657299e-08
-5795898.438,1.411025916e-08
-5791015.625,1.359730233e-08
-5786132.812,1.356420522e-08
-5781250,1.34709113e-08
-5776367.188,1.3403847e-08
-5771484.375,1.377944751e-08
-5766601.562,1.39074725e-08
-5761718.75,1.392425228e-08
-5756835.938,1.359235377e-08
-5751953.125,1.363796601e-08
-5747070.312,1.373656133e-08
-5742187.5,1.393591328e-08
-5737304.688,1.396383596e-08
-5732421.875,1.398290199e-08
-5727539.062,1.388213944e-08
-5722656.25,1.464557274e-08
-5717773.438,1.577353318e-08
